#Time,feature,AirPressure_1m in [mbar],AirPressure_1mQualityFlag in [],NeutronCount_Epithermal_Cum1hr in [-],NeutronCount_Epithermal_Cum1hrQualityFlag in []
2021-05-30T14:01:00.000+02:00,RU_C_004,1026.5,4_2002,681,4_2002
2021-05-30T15:01:00.000+02:00,RU_C_004,1026.2,4_2002,687,4_2002
2021-05-30T16:01:00.000+02:00,RU_C_004,1025.7,4_2002,715,4_2002
2021-05-30T17:01:00.000+02:00,RU_C_004,1025,4_2002,717,4_2002
2021-05-30T19:01:00.000+02:00,RU_C_004,1023.9,4_2002,733,4_2002
2021-05-30T20:01:00.000+02:00,RU_C_004,1023.6,4_2002,761,4_2002
2021-05-30T21:01:00.000+02:00,RU_C_004,1023.4,4_2002,718,4_2002
2021-05-30T22:01:00.000+02:00,RU_C_004,1023.3,4_2002,723,4_2002
2021-05-30T23:01:00.000+02:00,RU_C_004,1023.5,4_2002,775,4_2002
2021-05-31T00:01:00.000+02:00,RU_C_004,1023.5,4_2002,709,4_2002
2021-05-31T01:01:00.000+02:00,RU_C_004,1023.5,4_2002,718,4_2002
2021-05-31T02:01:00.000+02:00,RU_C_004,1023.3,4_2002,743,4_2002
2021-05-31T03:01:00.000+02:00,RU_C_004,1023.1,4_2002,727,4_2002
2021-05-31T05:01:00.000+02:00,RU_C_004,1022.9,4_2002,747,4_2002
2021-05-31T06:01:00.000+02:00,RU_C_004,1023,4_2002,751,4_2002
2021-05-31T07:01:00.000+02:00,RU_C_004,1023.1,4_2002,713,4_2002
2021-05-31T08:01:00.000+02:00,RU_C_004,1023,4_2002,760,4_2002
2021-05-31T09:01:00.000+02:00,RU_C_004,1023,4_2002,729,4_2002
2021-05-31T10:01:00.000+02:00,RU_C_004,1022.7,4_2002,767,4_2002
2021-05-31T11:01:00.000+02:00,RU_C_004,1022.5,4_2002,741,4_2002
2021-05-31T12:01:00.000+02:00,RU_C_004,1022.3,4_2002,743,4_2002
2021-05-31T13:01:00.000+02:00,RU_C_004,1021.9,4_2002,730,4_2002
2021-05-31T15:01:00.000+02:00,RU_C_004,1020.9,4_2002,719,4_2002
2021-05-31T16:01:00.000+02:00,RU_C_004,1020.6,4_2002,784,4_2002
2021-05-31T17:01:00.000+02:00,RU_C_004,1019.9,4_2002,694,4_2002
2021-05-31T18:01:00.000+02:00,RU_C_004,1019.5,4_2002,763,4_2002
2021-05-31T19:01:00.000+02:00,RU_C_004,1018.9,4_2002,721,4_2002
2021-05-31T20:01:00.000+02:00,RU_C_004,1018.6,4_2002,725,4_2002
2021-05-31T21:01:00.000+02:00,RU_C_004,1018.3,4_2002,712,4_2002
2021-05-31T22:01:00.000+02:00,RU_C_004,1018.3,4_2002,777,4_2002
2021-05-31T23:01:00.000+02:00,RU_C_004,1018.4,4_2002,766,4_2002
2021-06-01T01:01:00.000+02:00,RU_C_004,1018.3,4_2002,775,4_2002
2021-06-01T02:01:04.000+02:00,RU_C_004,1018.3,4_2002,723,4_2002
2021-06-01T03:01:00.000+02:00,RU_C_004,1018.2,4_2002,734,4_2002
2021-06-01T04:01:00.000+02:00,RU_C_004,1018.3,4_2002,752,4_2002
2021-06-01T05:01:00.000+02:00,RU_C_004,1018.3,4_2002,788,4_2002
2021-06-01T06:01:00.000+02:00,RU_C_004,1018.2,4_2002,806,4_2002
2021-06-01T07:01:00.000+02:00,RU_C_004,1018.2,4_2002,760,4_2002
2021-06-01T08:01:00.000+02:00,RU_C_004,1018.2,4_2002,757,4_2002
2021-06-01T09:01:00.000+02:00,RU_C_004,1018.1,4_2002,830,4_2002
2021-06-01T11:01:00.000+02:00,RU_C_004,1017.8,4_2002,771,4_2002
2021-06-01T12:01:00.000+02:00,RU_C_004,1017.5,4_2002,749,4_2002
2021-06-01T13:01:00.000+02:00,RU_C_004,1017,4_2002,797,4_2002
2021-06-01T14:01:00.000+02:00,RU_C_004,1016.6,4_2002,792,4_2002
2021-06-01T15:01:00.000+02:00,RU_C_004,1015.9,4_2002,773,4_2002
2021-06-01T16:01:00.000+02:00,RU_C_004,1015.3,4_2002,831,4_2002
2021-06-01T17:01:00.000+02:00,RU_C_004,1015,4_2002,770,4_2002
2021-06-01T18:01:00.000+02:00,RU_C_004,1014.7,4_2002,846,4_2002
2021-06-01T19:01:00.000+02:00,RU_C_004,1014.2,4_2002,839,4_2002
2021-06-01T21:01:00.000+02:00,RU_C_004,1013.8,4_2002,849,4_2002
2021-06-01T22:01:00.000+02:00,RU_C_004,1013.8,4_2002,800,4_2002
2021-06-01T23:01:00.000+02:00,RU_C_004,1014,4_2002,759,4_2002
2021-06-02T00:01:00.000+02:00,RU_C_004,1014.1,4_2002,823,4_2002
2021-06-02T01:01:00.000+02:00,RU_C_004,1014.3,4_2002,787,4_2002
2021-06-02T02:01:00.000+02:00,RU_C_004,1014.3,4_2002,782,4_2002
2021-06-02T03:01:00.000+02:00,RU_C_004,1014.3,4_2002,807,4_2002
2021-06-02T04:01:00.000+02:00,RU_C_004,1013.9,4_2002,819,4_2002
2021-06-02T05:01:00.000+02:00,RU_C_004,1013.9,4_2002,805,4_2002
2021-06-02T07:01:00.000+02:00,RU_C_004,1014.1,4_2002,831,4_2002
