#Time,feature,AirPressure_1m in [mbar],AirPressure_1mQualityFlag in [],NeutronCount_Epithermal_Cum1hr in [-],NeutronCount_Epithermal_Cum1hrQualityFlag in []
2021-05-01T00:13:00.000+02:00,RU_C_006,986,4_2002,862,4_2002
2021-05-01T01:13:00.000+02:00,RU_C_006,986.29999999999995,4_2002,802,4_2002
2021-05-01T03:13:00.000+02:00,RU_C_006,985.89999999999998,4_2002,826,4_2002
2021-05-01T04:13:00.000+02:00,RU_C_006,985.89999999999998,4_2002,850,4_2002
2021-05-01T05:13:00.000+02:00,RU_C_006,985.60000000000002,4_2002,862,4_2002
2021-05-01T06:13:00.000+02:00,RU_C_006,985.79999999999995,4_2002,856,4_2002
2021-05-01T07:13:00.000+02:00,RU_C_006,986,4_2002,884,4_2002
2021-05-01T08:13:00.000+02:00,RU_C_006,986,4_2002,808,4_2002
2021-05-01T09:13:00.000+02:00,RU_C_006,986,4_2002,856,4_2002
2021-05-01T10:13:00.000+02:00,RU_C_006,986,4_2002,819,4_2002
2021-05-01T11:13:00.000+02:00,RU_C_006,986,4_2002,892,4_2002
2021-05-01T13:13:00.000+02:00,RU_C_006,985.60000000000002,4_2002,794,4_2002
2021-05-01T14:13:00.000+02:00,RU_C_006,985.39999999999998,4_2002,879,4_2002
2021-05-01T15:13:00.000+02:00,RU_C_006,984.70000000000005,4_2002,887,4_2002
2021-05-01T16:13:00.000+02:00,RU_C_006,984.60000000000002,4_2002,888,4_2002
2021-05-01T17:13:00.000+02:00,RU_C_006,984.60000000000002,4_2002,928,4_2002
2021-05-01T18:13:00.000+02:00,RU_C_006,984.39999999999998,4_2002,898,4_2002
2021-05-01T19:13:00.000+02:00,RU_C_006,984.39999999999998,4_2002,879,4_2002
2021-05-01T20:13:00.000+02:00,RU_C_006,984.79999999999995,4_2002,912,4_2002
2021-05-01T21:13:00.000+02:00,RU_C_006,985.29999999999995,4_2002,836,4_2002
2021-05-01T23:13:00.000+02:00,RU_C_006,986,4_2002,923,4_2002
2021-05-02T00:13:00.000+02:00,RU_C_006,986.20000000000005,4_2002,873,4_2002
2021-05-02T01:13:00.000+02:00,RU_C_006,986.70000000000005,4_2002,850,4_2002
2021-05-02T02:13:00.000+02:00,RU_C_006,986.89999999999998,4_2002,815,4_2002
2021-05-02T03:13:00.000+02:00,RU_C_006,987.10000000000002,4_2002,846,4_2002
2021-05-02T04:13:00.000+02:00,RU_C_006,987.20000000000005,4_2002,834,4_2002
2021-05-02T05:13:00.000+02:00,RU_C_006,987.60000000000002,4_2002,847,4_2002
2021-05-02T06:13:00.000+02:00,RU_C_006,988,4_2002,859,4_2002
2021-05-02T07:13:00.000+02:00,RU_C_006,988.79999999999995,4_2002,779,4_2002
2021-05-02T09:13:00.000+02:00,RU_C_006,989.79999999999995,4_2002,854,4_2002
2021-05-02T10:13:00.000+02:00,RU_C_006,990,4_2002,845,4_2002
2021-05-02T11:13:00.000+02:00,RU_C_006,990.20000000000005,4_2002,834,4_2002
2021-05-02T12:13:00.000+02:00,RU_C_006,990.39999999999998,4_2002,848,4_2002
2021-05-02T13:13:00.000+02:00,RU_C_006,990.39999999999998,4_2002,838,4_2002
2021-05-02T14:13:00.000+02:00,RU_C_006,990.70000000000005,4_2002,824,4_2002
2021-05-02T15:13:00.000+02:00,RU_C_006,990.79999999999995,4_2002,831,4_2002
2021-05-02T16:13:00.000+02:00,RU_C_006,990.79999999999995,4_2002,812,4_2002
2021-05-02T17:13:00.000+02:00,RU_C_006,990.70000000000005,4_2002,813,4_2002
2021-05-02T19:13:00.000+02:00,RU_C_006,991,4_2002,801,4_2002
