#Time,feature,NeutronCount_Epithermal_Cum1hrQualityFlag in []
2015-08-03T14:00:00.000000+0200,Jungfraujoch,42027.0
2015-08-03T15:00:00.000000+0200,Jungfraujoch,157.71,42027.0
2015-08-03T16:00:00.000000+0200,Jungfraujoch,157.303,42027.0
2015-08-03T17:00:00.000000+0200,Jungfraujoch,156.844,42027.0
2015-08-03T18:00:00.000000+0200,Jungfraujoch,157.047,42027.0
2015-08-03T19:00:00.000000+0200,Jungfraujoch,156.335,42027.0
2015-08-03T20:00:00.000000+0200,Jungfraujoch,156.973,42027.0
2015-08-03T21:00:00.000000+0200,Jungfraujoch,157.057,42027.0
2015-08-03T22:00:00.000000+0200,Jungfraujoch,156.804,42027.0
2015-08-03T23:00:00.000000+0200,Jungfraujoch,156.217,42027.0
2015-08-04T00:00:00.000000+0200,Jungfraujoch,156.731,42027.0
2015-08-04T01:00:00.000000+0200,Jungfraujoch,156.779,42027.0
2015-08-04T02:00:00.000000+0200,Jungfraujoch,156.24,42027.0
2015-08-04T03:00:00.000000+0200,Jungfraujoch,156.705,42027.0
2015-08-04T04:00:00.000000+0200,Jungfraujoch,157.173,42027.0
2015-08-04T05:00:00.000000+0200,Jungfraujoch,156.508,42027.0
2015-08-04T06:00:00.000000+0200,Jungfraujoch,155.969,42027.0
2015-08-04T07:00:00.000000+0200,Jungfraujoch,156.841,42027.0
2015-08-04T08:00:00.000000+0200,Jungfraujoch,156.766,42027.0
2015-08-04T09:00:00.000000+0200,Jungfraujoch,157.138,42027.0
2015-08-04T10:00:00.000000+0200,Jungfraujoch,156.857,42027.0
2015-08-04T11:00:00.000000+0200,Jungfraujoch,156.472,42027.0
2015-08-04T12:00:00.000000+0200,Jungfraujoch,156.42,42027.0
2015-08-04T13:00:00.000000+0200,Jungfraujoch,157.126,42027.0
2015-08-04T14:00:00.000000+0200,Jungfraujoch,157.303,42027.0
2015-08-04T15:00:00.000000+0200,Jungfraujoch,157.451,42027.0
2015-08-04T16:00:00.000000+0200,Jungfraujoch,156.672,42027.0
2015-08-04T17:00:00.000000+0200,Jungfraujoch,157.54,42027.0
2015-08-04T18:00:00.000000+0200,Jungfraujoch,157.111,42027.0
2015-08-04T19:00:00.000000+0200,Jungfraujoch,156.885,42027.0
2015-08-04T20:00:00.000000+0200,Jungfraujoch,156.78,42027.0
2015-08-04T21:00:00.000000+0200,Jungfraujoch,156.552,42027.0
2015-08-04T22:00:00.000000+0200,Jungfraujoch,157.436,42027.0
2015-08-04T23:00:00.000000+0200,Jungfraujoch,157.539,42027.0
2015-08-05T00:00:00.000000+0200,Jungfraujoch,157.085,42027.0
2015-08-05T01:00:00.000000+0200,Jungfraujoch,157.026,42027.0
2015-08-05T02:00:00.000000+0200,Jungfraujoch,157.416,42027.0
2015-08-05T03:00:00.000000+0200,Jungfraujoch,157.339,42027.0
2015-08-05T04:00:00.000000+0200,Jungfraujoch,156.844,42027.0
2015-08-05T05:00:00.000000+0200,Jungfraujoch,156.926,42027.0
